Document Number,Document Date,Customer ID,Customer Name,Amount,Currency
DOC0001,2024-01-15,CUST001,Acme Corporation,1500.00,USD
DOC0002,2024-01-16,CUST002,Tech Solutions Inc,2750.50,EUR
DOC0003,2024-01-17,CUST003,Global Industries Ltd,3200.75,GBP
DOC0004,2024-01-18,CUST001,Acme Corporation,890.25,USD
DOC0005,2024-01-19,CUST004,Digital Services,4500.00,CHF
DOC0006,2024-01-20,CUST005,Smart Manufacturing,1250.00,USD
DOC0007,2024-01-21,CUST002,Tech Solutions Inc,3800.99,EUR
DOC0008,2024-01-22,CUST006,Retail Dynamics,567.50,USD
DOC0009,2024-01-23,CUST007,Finance Corp,9999.00,USD
DOC0010,2024-01-24,CUST003,Global Industries Ltd,2100.25,GBP
